mimosa_name,plcs_name,similarity
AttributeSetDefinition,AttachmentSlotDefinition,70
Document,Document,100
DocumentType,Document,80
DocumentForAsset,DocumentAssignment,76
DocumentForSegment,DocumentAssignment,72
PropertyDefinition,DocumentDefinition,72
Document,DocumentVersion,70
PropertyDefinition,EnvironmentDefinition,72
Evidence,Evidence,100
MaterialItem,ExternalItem,75
PropertyDefinition,ExternalPropertyDefinition,82
PropertyGroupDefinition,ExternalPropertyDefinition,73
PropertySetDefinition,ExternalPropertyDefinition,77
MeasurementAssociation,ItemDesignAssociation,70
LifecycleStatusType,LifeCycleStage,73
GPSLocation,Location,84
Organization,Organization,100
OrganizationType,Organization,86
Organization,OrganizationType,86
OrganizationType,OrganizationType,100
Port,Part,75
PropertyDefinition,PartViewDefinition,72
AttributeDefinition,PartViewDefinition,70
PropertySetDefinition,PartViewDefinition,72
Organization,PersonInOrganization,75
GeoPosition,Position,84
PostScalingType,PositionType,74
GeoPosition,PositionType,70
Probability,Probability,100
Probability,ProbabilityByName,79
Probability,ProbabilityDerived,76
Probability,ProbabilityGenerator,71
Probability,ProbabilityNumeric,76
PropertyGroup,ProductGroup,72
PropertyDefinition,ProductViewDefinition,72
AttributeDefinition,ProductViewDefinition,70
PropertySetDefinition,ProductViewDefinition,71
PropertyDefinition,PropertyDefinitionAssignment,78
PropertyGroupDefinition,PropertyDefinitionAssignment,71
PropertySetDefinition,PropertyDefinitionAssignment,73
PropertyDefinition,PropertyDefinitionRelationship,75
PropertySetDefinition,PropertyDefinitionRelationship,71
Property,PropertyValue,76
PropertyType,PropertyValue,72
PropertySet,PropertyValue,75
CalculationType,QualificationType,75
Coordinate,RegionalCoordinate,71
Measurement,Requirement,73
MeasurementSource,RequirementSource,82
MeasurementSourceType,RequirementSource,74
Event,RiskEvent,71
MeasurementAssociation,ShapePlacementAssociation,77
Assessment,StateAssessment,80
HealthAssessment,StateAssessment,77
AttributeDefinition,StateDefinition,76
AttributeSetDefinition,StateDefinition,70
PropertyDefinition,StateProperSubsetDefinition,76
PropertySetDefinition,StateProperSubsetDefinition,79
AttributeDefinition,StateSubsetDefinition,70
AttributeSetDefinition,StateSubsetDefinition,74
Function,ValueFunction,76
ValueContent,ValueSet,70
WorkOrder,WorkOrder,100
Request,WorkRequest,78
WorkRequest,WorkRequest,100
